Age,Months,State,Cumulative Incidence,"95% Confidence Interval, Lower","95% Confidence Interval, Upper",Survey Year
4,9,MO,0,0,0.320954942,2016
4,10,MO,0,0,0.320954942,2016
4,11,MO,0,0,0.320954942,2016
4,12,MO,0,0,0.320954942,2016
4,13,MO,0.0835771,0.004286945,0.47330193,2016
4,14,MO,0.0835771,0.004286945,0.47330193,2016
4,15,MO,0.0835771,0.004286945,0.47330193,2016
4,16,MO,0.0835771,0.004286945,0.47330193,2016
4,17,MO,0.0835771,0.004286945,0.47330193,2016
4,18,MO,0.2507313,0.085274849,0.736981745,2016
4,19,MO,0.417885499,0.178508498,0.977949198,2016
4,20,MO,0.417885499,0.178508498,0.977949198,2016
4,21,MO,0.585039699,0.283426469,1.207232329,2016
4,22,MO,0.668616799,0.338842356,1.318916992,2016
4,23,MO,0.668616799,0.338842356,1.318916992,2016
4,24,MO,1.002925198,0.573826355,1.752335197,2016
4,25,MO,1.170079398,0.69714422,1.963218433,2016
4,26,MO,1.504387798,0.951842885,2.376921972,2016
4,27,MO,1.838696197,1.21460808,2.782558979,2016
4,28,MO,2.590890096,1.825932677,3.67513934,2016
4,29,MO,2.841621396,2.034283577,3.968090092,2016
4,30,MO,3.092352695,2.244429026,4.259246295,2016
4,31,MO,3.175929795,2.314839093,4.355936779,2016
4,32,MO,3.426661095,2.52705982,4.645017704,2016
4,33,MO,3.760969494,2.812120319,5.028359408,2016
4,34,MO,4.095277894,3.099300397,5.409581533,2016
4,35,MO,4.262432094,3.243605507,5.599477525,2016
4,36,MO,4.513163393,3.460881116,5.883503568,2016
4,37,MO,4.931048893,3.824997878,6.354889561,2016
4,38,MO,5.014625992,3.898097133,6.448890856,2016
4,39,MO,5.098203092,3.971283078,6.542805462,2016
4,40,MO,5.265357292,4.117906797,6.730382845,2016
4,41,MO,5.348934392,4.191340654,6.824049538,2016
4,42,MO,5.683242791,4.485847097,7.197945298,2016
4,43,MO,5.933974091,4.707490272,7.477603776,2016
4,44,MO,6.017551191,4.781508618,7.570685981,2016
4,45,MO,6.268282491,5.003956206,7.849540045,2016
4,46,MO,6.76974509,5.450506435,8.405593121,2016
4,47,MO,6.76974509,5.450506435,8.405593121,2016
4,48,MO,6.93689929,5.599813922,8.590486735,2016
4,1,NC,0,0,0.218900993,2016
4,2,NC,0,0,0.218900993,2016
4,3,NC,0,0,0.218900993,2016
4,4,NC,0,0,0.218900993,2016
4,5,NC,0,0,0.218900993,2016
4,6,NC,0,0,0.218900993,2016
4,7,NC,0,0,0.218900993,2016
4,8,NC,0,0,0.218900993,2016
4,9,NC,0,0,0.218900993,2016
4,10,NC,0,0,0.218900993,2016
4,11,NC,0,0,0.218900993,2016
4,12,NC,0,0,0.218900993,2016
4,13,NC,0,0,0.218900993,2016
4,14,NC,0,0,0.218900993,2016
4,15,NC,0,0,0.218900993,2016
4,16,NC,0,0,0.218900993,2016
4,17,NC,0,0,0.218900993,2016
4,18,NC,0.056996295,0.002923528,0.322807314,2016
4,19,NC,0.227985181,0.088662443,0.586109099,2016
4,20,NC,0.341977771,0.156740606,0.745966211,2016
4,21,NC,0.512966657,0.269904306,0.974705423,2016
4,22,NC,0.626959248,0.35013089,1.122414114,2016
4,23,NC,0.683955543,0.39130756,1.195205082,2016
4,24,NC,1.08292961,0.693419451,1.690866652,2016
4,25,NC,1.481903676,1.011531743,2.170527822,2016
4,26,NC,2.336848105,1.723145603,3.168428523,2016
4,27,NC,2.678825876,2.015240508,3.560139442,2016
4,28,NC,2.963807353,2.261008597,3.88420954,2016
4,29,NC,3.419777714,2.65793449,4.399024747,2016
4,30,NC,3.875748076,3.058655125,4.910045211,2016
4,31,NC,4.217725848,3.361292739,5.291213421,2016
4,32,NC,4.502707324,3.614691543,5.607652804,2016
4,33,NC,4.844685095,3.920061558,5.986088613,2016
4,34,NC,5.015673981,4.073231888,6.174821195,2016
4,35,NC,5.243659162,4.277926077,6.425997556,2016
4,36,NC,5.528640638,4.534497137,6.739264683,2016
4,37,NC,5.642633229,4.637332083,6.864365011,2016
4,38,NC,5.699629524,4.688792041,6.926872691,2016
4,39,NC,5.756625819,4.740279765,6.989352605,2016
4,40,NC,5.87061841,4.843336898,7.114230746,2016
4,41,NC,5.927614705,4.894905527,7.176629754,2016
4,42,NC,5.927614705,4.894905527,7.176629754,2016
4,43,NC,6.041607296,4.998121025,7.301349531,2016
4,44,NC,6.098603591,5.049767167,7.363671026,2016
4,45,NC,6.155599886,5.101438434,7.425967397,2016
4,46,NC,6.212596181,5.153134482,7.488238986,2016
4,47,NC,6.269592476,5.204854977,7.550486129,2016
4,48,NC,6.326588772,5.256599591,7.612709153,2016
4,1,NJ,0,0,0.217808774,2016
4,2,NJ,0,0,0.217808774,2016
4,3,NJ,0,0,0.217808774,2016
4,4,NJ,0,0,0.217808774,2016
4,5,NJ,0,0,0.217808774,2016
4,6,NJ,0,0,0.217808774,2016
4,7,NJ,0,0,0.217808774,2016
4,8,NJ,0,0,0.217808774,2016
4,9,NJ,0,0,0.217808774,2016
4,10,NJ,0,0,0.217808774,2016
4,11,NJ,0,0,0.217808774,2016
4,12,NJ,0,0,0.217808774,2016
4,13,NJ,0,0,0.217808774,2016
4,14,NJ,0,0,0.217808774,2016
4,15,NJ,0.113423694,0.031105419,0.413501334,2016
4,16,NJ,0.113423694,0.031105419,0.413501334,2016
4,17,NJ,0.170135541,0.057863086,0.500142657,2016
4,18,NJ,0.283559236,0.121125446,0.663678276,2016
4,19,NJ,0.453694777,0.229915737,0.895084953,2016
4,20,NJ,0.623830318,0.34838334,1.116814319,2016
4,21,NJ,0.850677707,0.515609366,1.403184251,2016
4,22,NJ,1.020813248,0.645835392,1.613155194,2016
4,23,NJ,1.871490954,1.332966983,2.627008446,2016
4,24,NJ,2.722168661,2.053930338,3.607029933,2016
4,25,NJ,3.345998979,2.595075415,4.313273742,2016
4,26,NJ,4.196676686,3.344511365,5.264822635,2016
4,27,NJ,5.047354392,4.103764563,6.20655428,2016
4,28,NJ,6.124879487,5.075966809,7.388932835,2016
4,29,NJ,7.259116429,6.10900576,8.623873674,2016
4,30,NJ,7.8262349,6.628530974,9.238338356,2016
4,31,NJ,8.393353372,7.149775306,9.851083919,2016
4,32,NJ,9.811149549,8.459360242,11.37647372,2016
4,33,NJ,11.51250496,10.04093573,13.19686792,2016
4,34,NJ,12.6467419,11.10031713,14.40546631,2016
4,35,NJ,13.27057222,11.68444901,15.06872331,2016
4,36,NJ,13.89440254,12.26953394,15.73102727,2016
4,37,NJ,14.63165655,12.96214174,16.51260633,2016
4,38,NJ,15.19877502,13.49570588,17.11303209,2016
4,39,NJ,15.87931719,14.13683101,17.83269483,2016
4,40,NJ,16.10616458,14.35073557,18.07238623,2016
4,41,NJ,16.67328305,14.88590712,18.67120458,2016
4,42,NJ,16.84341859,15.04656958,18.85073909,2016
4,43,NJ,17.01355413,15.20728192,19.03022371,2016
4,44,NJ,17.18368967,15.36804341,19.20965919,2016
4,45,NJ,17.6940963,15.85061571,19.7476778,2016
4,46,NJ,17.92094369,16.06522739,19.98666207,2016
4,47,NJ,18.14779107,16.27992003,20.22556539,2016
4,48,NJ,18.43135031,16.54839742,20.52408295,2016
4,1,Total,0,0,0.053146294,2016
4,2,Total,0,0,0.053146294,2016
4,3,Total,0,0,0.053146294,2016
4,4,Total,0,0,0.053146294,2016
4,5,Total,0,0,0.053146294,2016
4,6,Total,0,0,0.053146294,2016
4,7,Total,0,0,0.053146294,2016
4,8,Total,0,0,0.053146294,2016
4,9,Total,0,0,0.053146294,2016
4,10,Total,0,0,0.053146294,2016
4,11,Total,0,0,0.053146294,2016
4,12,Total,0.01383566,0.000709677,0.078373805,2016
4,13,Total,0.02767132,0.007588507,0.100897486,2016
4,14,Total,0.02767132,0.007588507,0.100897486,2016
4,15,Total,0.0691783,0.029549185,0.161946355,2016
4,16,Total,0.08301396,0.03804658,0.18111881,2016
4,17,Total,0.11068528,0.056088015,0.218417074,2016
