year,abbr,male_prev,male_ci_l,male_ci_u,female_prev,female_ci_l,female_ci_u,white_prev,white_ci_l,white_ci_u,black_prev,black_ci_l,black_ci_u,hisp_prev,hisp_ci_l,hisp_ci_u,api_prev,api_ci_l,api_ci_u,aian_prev,aian_ci_l,aian_ci_u
2008,CO,20.1,16.1,25,2.9,1.6,5.3,14.8,11.5,19.1,10.5,5.8,18.9,6.7,4.1,11.1,2.6,0.4,18.3,,,
2008,FL,11.3,9.7,13.1,2.9,2.1,3.9,4.6,3.2,6.5,3,1.9,4.7,8.2,6.9,9.8,2.2,0.3,16,,,
2008,GA,19.6,18,21.4,3.8,3.1,4.6,11.8,10.3,13.5,11.9,10.5,13.5,7.1,5.5,9.2,15.9,11.9,21.1,,,
2008,MD,20.5,18.3,23.1,3.9,2.9,5.1,12.9,11.4,14.7,11.7,9.3,14.9,5.9,3,11.9,8.2,4.6,14.4,,,
2008,MO,21.6,19.2,24.3,5.9,4.7,7.4,14.6,12.9,16.5,9.3,7.1,12,9,4.5,18,9.8,4.9,19.6,,,
2008,NJ,34.2,28.7,40.7,5.8,3.8,9.1,21,16.5,26.8,20.6,14.7,29,20,14.7,27.2,3.1,0.4,22,,,
2008,NC,23.1,21,25.3,5.1,4.1,6.2,14.6,13.1,16.4,15.4,13.1,18.1,7.6,5.6,10.5,11.8,7.2,19.3,,,
2008,PA,22.2,19.4,25.4,4.3,3.1,5.8,14.3,11.4,17.9,12.7,10.6,15.2,9.1,6.3,13.2,8.4,4.4,16.2,,,
2008,SC,18.3,16.1,20.9,3.5,2.6,4.8,10.2,8.6,12.2,9.9,8.1,12.1,7,3.6,13.5,,,,,,
2008,UT,31.7,22.4,44.8,11.7,6.8,20.1,40,28.9,55.5,25.9,8.3,80.2,4.4,1.7,11.8,,,,,,
2008,WI,11.7,10.2,13.4,3.7,2.9,4.7,8.6,7.5,9.9,5,3.5,7.2,3.8,2.4,6.1,2.4,0.8,7.4,,,
2010,AL,8.8,7.3,10.8,2.4,1.7,3.6,6.2,5,7.8,5.3,3.8,7.4,1.2,0.3,4.8,3,0.4,21.3,,,
2010,AZ,25.1,22.9,27.6,6,4.9,7.3,18.8,16.8,21.1,16.3,11.6,23.1,10.6,9,12.5,19.4,12.7,29.8,,,
2010,AR,24.9,22.8,27.2,5.8,4.9,7,17.6,16.1,19.3,11,8.9,13.7,9.1,6.6,12.5,11.5,5.8,23.1,,,
2010,CO,15.3,13.6,17.1,4.2,3.4,5.3,11.3,10,12.9,9.2,6,13.9,6.1,4.9,7.7,7.4,4.4,12.5,,,
2010,GA,25.4,23.5,27.5,5.5,4.6,6.5,18.2,16.2,20.4,14,12.5,15.7,10.7,8.7,13.1,12.3,9,16.9,,,
2010,MD,27,24.4,29.9,5.6,4.5,7.1,16.8,15,18.8,15.5,12.7,18.9,9.8,6.2,15.5,11.9,7.8,18.3,,,
